"age" "gender" "belgian" "degree" "startdate" "months" "phd" "years" "totdfte" "meandfte" "level" "class" "faculty"
43 "M" "B" 5 34943 14 "Y" 1 1 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
21 "W" "B" 9 35339 79 "Y" 7 6 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
33 "W" "B" 7 37530 NA "N" NA 0.42 0.2 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "LW"
40 "W" "B" 5 34001 NA "N" NA 1.53 0.15 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "PP"
24 "W" "B" 7 36526 NA "N" NA 0.33 1 "assistent" "1c) Plaatsvervangend AAP" "LA"
22 "W" "B" 8 36220 NA "N" NA 0.29 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "M" "B" 7 34274 NA "N" NA 11.25 0.66 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
23 "W" "B" 9 37165 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
27 "W" "O" 5 36130 48 "Y" 4 4 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
21 "W" "B" 8 34243 53 "Y" 4 4.48 1 "IWONL-bursaal" "3 ) IWT-bursalen" "EB"
23 "M" "B" 8 36923 NA "N" NA 4.91 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
29 "W" "O" 5 35735 NA "N" NA 1 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
23 "M" "B" 8 37135 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "TW"
23 "M" "B" 9 35431 NA "N" NA 0.41 1 "IWT-bursaal" "3 ) IWT-bursalen" "TW"
23 "M" "B" 9 36373 NA "N" NA 5 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "FW"
23 "M" "B" 7 37834 NA "N" NA 1 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
NA NA NA 5 NA NA NA NA NA NA NA NA NA
25 "W" "B" 7 37773 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "LW"
23 "W" "B" 7 34731 NA "N" NA 3.89 0.33 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
24 "W" "B" 7 35339 63 "Y" 5 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
23 "W" "B" 7 34366 75 "Y" 6 6.26 1 "assistent" "1c) Plaatsvervangend AAP" "WE"
31 "M" NA 5 35765 NA "N" NA 2 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
31 "M" "B" 7 36251 NA "N" NA 0.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LW"
24 "M" "B" 7 34274 NA "N" NA 0.92 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
28 "W" "B" 8 36800 NA "N" NA 4.58 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
24 "W" "B" 7 37316 NA "N" NA 2.35 0.55 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "RE"
25 "W" "B" 8 35034 NA "N" NA 6.17 0.72 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
23 "W" "B" 8 36800 NA "N" NA 1.25 1 "assistent" "1a) Bezoldigd AAP" "PP"
22 "W" "B" 8 35339 49 "Y" 4 4.08 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
24 "M" "B" 7 34608 NA "N" NA 2.25 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
23 "M" "B" 5 36069 53 "Y" 4 4 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
21 "M" "B" 7 37530 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "TW"
34 "M" "O" 5 33543 NA "N" NA NA NA "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
23 "W" "B" 8 37135 NA "N" NA 2 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
24 "M" "B" 7 34608 85 "Y" 7 7 1 "assistent" "1a) Bezoldigd AAP" "WE"
22 "M" "B" 7 34366 NA "N" NA 4.15 0.38 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
35 "W" "B" 7 33817 NA "N" NA 1 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
37 "M" "B" 6 35431 NA "N" NA 1 0.5 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
27 "M" "B" 7 37165 NA "N" NA 3.25 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
22 "M" "B" 8 34001 51 "Y" 4 3.26 0.77 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "WE"
25 "M" "B" 5 34029 39 "Y" 3 1.75 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
21 "M" "B" 8 37104 NA "N" NA 0.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
25 "M" "B" 5 34274 55 "Y" 5 4.64 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
23 "M" "B" 7 34213 56 "Y" 5 4.71 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
25 "W" "B" 9 34243 41 "Y" 3 3.45 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
27 "M" "B" 9 36069 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
23 "M" "B" 6 35278 NA "N" NA 1.33 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
46 "M" "B" 5 37653 NA "N" NA 0.46 0.5 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "GE"
29 "W" "B" 8 35977 NA "N" NA 3.68 0.7 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
22 "M" "B" 8 36434 NA "N" NA 1.08 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "WE"
24 "M" "B" 8 34243 62 "Y" 5 4.85 1 "IWONL-bursaal" "3 ) IWT-bursalen" "DI"
22 "W" "B" 7 37135 NA "N" NA 3.33 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "EB"
23 "M" "B" 8 36069 NA "N" NA 2 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
26 "W" "B" 8 35704 NA "N" NA 6.12 0.92 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "RE"
30 "W" "B" 8 34973 32 "Y" 3 2.75 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "LW"
23 "W" "B" 8 37530 NA "N" NA 2 1 "IWT-bursaal" "3 ) IWT-bursalen" "LA"
25 "M" "B" 7 37165 NA "N" NA 2 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "DI"
23 "M" "B" 8 35339 50 "Y" 4 4 1 "doctoraatsbursaal" "4a) Persoonsgebonden mandaten (bursalen)" "WE"
26 "W" "B" 7 34912 NA "N" NA 9.96 0.84 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "GE"
22 "W" "B" 8 37165 NA "N" NA 2.25 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
23 "M" "B" 7 36100 NA "N" NA 4.91 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
22 "W" "B" 8 37165 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "FW"
25 "W" "B" 7 36557 NA "N" NA 4.94 0.88 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
22 "M" "B" 5 35674 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "TW"
23 "M" "B" 8 35462 NA "N" NA 1.58 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "LA"
23 "M" "B" 8 36800 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "TW"
25 "W" "B" 8 35827 NA "N" NA 5.34 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "DI"
22 "M" "B" 8 33878 80 "Y" 7 5.07 1 "IWONL-bursaal" "3 ) IWT-bursalen" "WE"
23 "W" "B" 5 35827 64 "Y" 5 4 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "LA"
22 "M" "B" 7 37165 NA "N" NA 2 1 "assistent" "1a) Bezoldigd AAP" "TW"
35 "M" "B" 5 36069 57 "Y" 5 4.68 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "GE"
25 "M" "O" 8 35278 NA "N" NA 2 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "DI"
22 "M" "B" 8 36434 NA "N" NA 4.17 1 "IWT-bursaal" "3 ) IWT-bursalen" "FW"
30 "W" "B" 7 37165 NA "N" NA 4 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "GE"
23 "W" "B" 7 36404 NA "N" NA 0.92 1 "wetenschappelijk medewerker" "7b) Andere juniorstatuten (WM)" "FW"
33 "W" "B" 7 37742 NA "N" NA 1 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
23 "M" "B" 6 35309 NA "N" NA 7.08 1 "wetenschappelijk medewerker" "5b) FWO-,BOF- en IUAP-projecten (WM)" "TW"
24 "M" "B" 8 37653 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
22 "W" "B" 8 37622 NA "N" NA 1 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "GE"
23 "W" "B" 7 36770 NA "N" NA 5 1 "doctoraatsbursaal" "6a) Andere projecten (bursalen)" "TW"
23 "W" "B" 7 35309 NA "N" NA 3.87 0.97 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "EB"
21 "M" "B" 8 36434 NA "N" NA 1.92 1 "IWT-bursaal" "3 ) IWT-bursalen" "WE"
22 "M" "B" 7 33573 NA "N" NA 2.24 0.82 "assistent" "1a) Bezoldigd AAP" "EB"
22 "M" "B" 7 37622 NA "N" NA 2 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "EB"
23 "M" "B" 8 35704 NA "N" NA 3.67 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "RE"
22 "M" "B" 8 36800 NA "N" NA 4 1 "assistent" "1a) Bezoldigd AAP" "TW"
22 "M" "B" 9 36069 NA "N" NA 5.34 1 "aspirant FWO (WP-BD)" "2 ) FWO-bursalen" "WE"
26 "M" "B" 5 33848 NA "N" NA 0.17 1 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "TW"
25 "W" "B" 8 34243 119 "Y" 10 6.93 0.66 "wetenschappelijk medewerker" "6b) Andere projecten (WM)" "PP"
24 "M" "O" 5 37135 NA "N" NA 3.17 1 "doctoraatsbursaal" "5a) FWO-,BOF- en IUAP-projecten (bursalen)" "WE"
